patient,data_gen_time,Ch_CV,i_CV,kernel_size_CV,coef_CV,time_CV,Ch_REG,time_REG,model.coef0,model.coef1
patient_630,11.494240760803224,0.1458173297513768,23,11,0.6,486.8428750038147,0.2065970335668096,114.14850211143494,0.4743934278444103,2.5403056770949933e-06
patient_97,13.308056354522703,0.1492519444198547,23,11,0.6,542.8688616752625,0.2118399372717243,127.3818061351776,0.3619320726689334,2.309727202849756e-06
patient_304,13.122090816497805,0.1242425725606423,22,11,0.5,1008.6621210575104,0.2024826255113298,235.2339773178101,0.28097191,1.3069410335992324e-06
patient_837,18.364722967147827,0.1311707968851155,22,11,0.5,777.0482969284058,0.2212065105980301,203.25410628318787,0.3141190578579638,2.713678332201677e-06
patient_538,17.963813543319702,0.1297670585248074,22,11,0.5,604.5554636,0.2187950960448805,164.9072871208191,0.3503854283304937,2.8034180678266827e-06
patient_627,14.409918069839478,0.1514002922219331,23,11,0.6,705.7976009845734,0.2145816636602127,161.42458271980286,0.3330512796656633,2.3256165449390094e-06
patient_8,18.87466716766357,0.1312677456536988,22,11,0.5,804.1546249389648,0.2261305144196816,194.71637535095212,0.2330187157097262,2.348463120262078e-06
patient_144,15.01669216156006,0.1270074964451849,22,11,0.5,1054.669568,0.207153065,252.24866437911987,0.2599429785974692,1.418392331568448e-06
patient_483,13.612059116363524,0.1246420082090897,22,11,0.5,698.3195123672485,0.2053369895482117,169.03456926345825,0.3720283097952236,1.908644600786849e-06
patient_270,13.315810680389404,0.1492519444198547,23,11,0.6,549.3331372737885,0.2144600589862204,134.16938400268555,0.3450460895291146,2.39983179443744e-06
patient_363,13.02712631225586,0.1492519444198547,23,11,0.6,597.4488596916199,0.213962689,135.87742352485657,0.3323117933169615,2.274001971980499e-06
patient_391,20.396634817123413,0.1326716553585418,22,11,0.5,1063.8351228237152,0.2242350166559981,256.59470224380493,0.2115560398125294,2.0101487974697068e-06
patient_30,13.144432306289673,0.1243766203498789,22,11,0.5,1167.5206060409546,0.2026489675658254,274.57394337654114,0.2668445143523623,1.248382847490278e-06
patient_783,13.397951364517212,0.122995353,22,11,0.5,1081.8689012527466,0.1981344093458297,249.24046683311465,0.3354012429825631,1.340178804269676e-06
patient_293,13.90162754058838,0.1492519444198547,23,11,0.6,649.1849465370178,0.2141438079640774,156.98175692558289,0.3452505241948545,2.37657618017321e-06
patient_807,13.77331256866455,0.1239719625153742,22,11,0.5,918.5483093,0.2036302234519649,218.6976456642151,0.3271390453384495,1.58309432506651e-06
patient_526,15.95745062828064,0.1449354852093506,19,9,0.7,656.2431643009186,0.1916820123472991,159.5514476299286,0.6582176063061521,2.08601660379239e-06
patient_759,22.343664169311523,0.1305800611858211,22,11,0.5,863.9658541679382,0.2185003422882841,232.98605251312256,0.342621758,2.71555458205418e-06
patient_527,17.444972276687622,0.1498845160084332,23,11,0.6,656.7264530658722,0.2156989147458641,162.40690517425537,0.3255502031846995,2.357395424120365e-06
patient_706,14.854387998580933,0.1482710777696302,23,11,0.6,974.7266197,0.2127566761650097,224.02529788017276,0.3668112453790472,2.4127024467221697e-06
patient_569,16.256205320358276,0.1508048355536105,23,11,0.6,703.7745182514191,0.2151174347957737,159.88584995269775,0.3190325820748265,2.2669558238246027e-06
patient_587,22.42666912078857,0.1305800611858211,22,11,0.5,871.0459823608398,0.2219062968982882,218.5158333778381,0.2894731911411996,2.556668830953147e-06
patient_764,15.256580114364624,0.1492519444198547,23,11,0.6,779.3085894584656,0.211837318,159.28083753585815,0.3563551252206671,2.2739402122318627e-06
patient_236,17.798898696899414,0.1492519444198547,23,11,0.6,677.1645572185516,0.2110945718444925,156.7535183429718,0.36835892656977337,2.293450679126996e-06
patient_788,13.249558210372925,0.1489292830623352,23,11,0.6,654.3886198997498,0.2087742637219906,147.12701964378357,0.39028185261178944,2.249033002506707e-06
patient_382,13.351342916488647,0.14827107776963028,23,11,0.6,590.3338718414307,0.2083690380075717,138.54867553710938,0.40008656662564573,2.274390443182856e-06
patient_687,11.90242052078247,0.14618295408779658,23.0,11.0,0.6,536.0591073036194,0.20539375625556766,121.65448045730591,0.48664069898769347,2.5014846039368543e-06
patient_583,14.420732975006104,0.12641046925321603,22.0,11.0,0.5,828.9712014198303,0.21065618945895523,202.62567257881165,0.3023828573105561,1.8554765920109567e-06
patient_475,11.821401357650757,0.14636415276958759,23.0,11.0,0.6,640.4792699813843,0.2025758631997178,157.72920107841492,0.4466216112725034,2.0841662864321047e-06
patient_761,13.535121440887451,0.1492519444198547,23.0,11.0,0.6,648.9396059513092,0.21157461810870382,146.77357387542725,0.35899793826109044,2.2709922870524403e-06
patient_204,15.850918769836426,0.15034868858440956,23.0,11.0,0.6,819.833922624588,0.21066812077019337,201.93857431411743,0.4000233338972022,2.4555897894719985e-06
patient_384,14.764313459396362,0.15050165788455966,23.0,11.0,0.6,641.4884934425354,0.21185316892152317,149.91299271583557,0.37646794511806214,2.4035408131851763e-06
patient_506,18.053513050079346,0.13017774962804116,22.0,11.0,0.5,696.7894380092621,0.224905852733332,186.69428133964539,0.30227397818863966,2.932815937973883e-06
patient_271,19.565295457839966,0.13107349346113178,22.0,11.0,0.5,837.0430588722229,0.22159301106777202,216.51384830474854,0.31533286579643577,2.757657937885808e-06
patient_150,14.683043956756592,0.11133086061519276,21.0,11.0,0.4,1456.8036949634552,0.23304176620368863,401.20352482795715,0.11100466664928356,1.381199218768958e-06
patient_815,11.615093231201172,0.10825483932326731,21.0,11.0,0.4,1030.171629190445,0.2271919606927172,294.13816833496094,0.1456688804206617,1.5170372494853638e-06
patient_833,13.167076587677002,0.13724821891012964,22.0,11.0,0.5,832.430205821991,0.24690068020104433,263.28137135505676,0.1192276174615301,2.2228574648258497e-06
patient_390,12.408821821212769,0.13687524303530368,22.0,11.0,0.5,655.5102949142456,0.23903507876439148,233.47015118598938,0.24456422504534145,3.634989384490889e-06
patient_77,12.094781398773193,0.1349121097956986,22.0,11.0,0.5,789.166332244873,0.23479868773830584,231.91414976119995,0.1519496941746852,1.9927289635062167e-06
patient_667,13.162858724594116,0.13783259353662652,22.0,11.0,0.5,922.290073633194,0.24877659685282846,281.1431405544281,0.11208661526858736,2.203429492600216e-06
patient_735,12.718969106674194,0.10925779575360942,21.0,11.0,0.4,816.4926357269287,0.23308080335923795,244.5932424068451,0.17433614117724514,2.171759441882129e-06
patient_757,14.043464660644531,0.11066540828942656,21.0,11.0,0.4,701.4598178863525,0.23523526569986308,242.1161651611328,0.271033054815115,3.6009576798384934e-06
patient_640,13.009313106536865,0.10937933473550138,21.0,11.0,0.4,895.9440104961395,0.23626866786873452,272.9881012439728,0.13895774417425596,1.903725946614773e-06
patient_649,12.247161865234375,0.1357178811777251,22.0,11.0,0.5,1234.188065290451,0.23790545021488305,332.48792481422424,0.09691993194430269,1.3935500977935443e-06
patient_279,12.6044180393219,0.1367241684193767,22.0,11.0,0.5,652.7751250267029,0.24491506512481312,222.24975538253784,0.1504334311808638,2.6505231839043858e-06
patient_631,14.960365295410156,0.11218282010118409,21.0,11.0,0.4,663.61936211586,0.24618710402514205,246.60134840011597,0.20820082942371457,3.8038054639463348e-06
patient_693,13.507776260375977,0.10991657639938432,21.0,11.0,0.4,897.5112872123718,0.23322855726401162,274.1819038391113,0.1601380513368433,2.0037584421702236e-06
patient_810,12.268458843231201,0.13563866346408224,22.0,11.0,0.5,794.1363599300385,0.2397734225643743,241.96718049049377,0.13834049155355763,2.1010450152567922e-06
patient_230,14.164793729782104,0.1384023027839082,22.0,11.0,0.5,913.9659924507141,0.2521943166769478,281.2758774757385,0.1048306064162195,2.2673256987273825e-06
patient_266,12.304965496063232,0.13547923803440182,22.0,11.0,0.5,613.4916491508484,0.22907690960084193,210.0582640171051,0.40360591723398076,4.453541247343974e-06
patient_301,12.0983726978302,0.13531854915408414,22.0,11.0,0.5,735.7529392242432,0.2355136413639849,234.68188333511353,0.1566176946364406,2.0981283080526656e-06
patient_34,12.936793327331543,0.10943988886234526,21.0,11.0,0.4,585.8182392120361,0.23343737919288915,205.18656706809998,0.2848390786676514,3.5865022598376984e-06
patient_770,15.648882389068604,0.11279693934344871,21.0,11.0,0.4,704.0098741054535,0.2462518770552767,257.182968378067,0.2096721482038736,3.837746967770467e-06
patient_669,13.254208087921143,0.10956026248924476,21.0,11.0,0.4,867.6749095916748,0.23563236014014088,253.43999576568604,0.15656863216208675,2.104883363083681e-06
patient_765,12.663437843322754,0.10907393703959166,21.0,11.0,0.4,795.229816198349,0.23259659483882178,249.55631947517395,0.17508306439336563,2.1495440617807657e-06
patient_27,13.100454330444336,0.1357178811777251,22.0,11.0,0.5,757.4087378978729,0.23399530249131648,235.85622453689575,0.16650661538902886,2.1318675091908764e-06
patient_721,13.397064208984375,0.13724821891012964,22.0,11.0,0.5,927.7865586280823,0.24420009642675908,284.9554626941681,0.12698358109577926,2.1920332299969994e-06
patient_584,25.538676261901855,0.1157299565181033,21.0,11.0,0.4,860.3227078914642,0.24916029444711968,300.56364583969116,0.20687485342409226,4.110913103181826e-06
patient_701,26.763450145721436,0.11538154517471189,21.0,11.0,0.4,1338.4871480464935,0.24824357632256555,391.92161321640015,0.12717289032837362,2.462744864621543e-06
patient_395,31.002629041671753,0.11883526544507375,21.0,11.0,0.4,2324.2004475593567,0.26185558111988905,630.4176826477051,0.06553185676082009,1.8440133547915421e-06
patient_196,28.291409015655518,0.08809723242008945,20.0,11.0,0.3,745.6018025875092,0.2521805403268935,296.14512491226196,0.1767348330205914,3.821042741125662e-06
patient_299,33.460633516311646,0.11762017305819843,21.0,11.0,0.4,990.3704710006714,0.2540679358224795,349.6574046611786,0.17232603105087613,3.92535233953822e-06
patient_55,32.244667530059814,0.116902321869307,21.0,11.0,0.4,993.5857405662537,0.2556988084012584,332.5630829334259,0.17411246108456044,4.147720934339588e-06
patient_771,32.03531455993652,0.11823703932389054,21.0,11.0,0.4,1580.040236234665,0.2640533314819283,495.2242593765259,0.09198997853768448,2.7444847465053687e-06
patient_781,30.81510329246521,0.11520483437758255,21.0,11.0,0.4,881.736410856247,0.24532884622846596,303.0430974960327,0.2192387169228255,3.908735756036006e-06
patient_215,64.65411138534546,0.09118739054932393,20.0,11.0,0.3,2637.039428472519,0.26751728602566366,727.0428109169006,0.06388674485261751,2.0881055841069602e-06
patient_306,27.031919717788696,0.11611468660937609,21.0,11.0,0.4,905.2939956188202,0.25358725773296914,308.3108344078064,0.18705048114200443,4.20464724661148e-06
patient_520,39.25966930389404,0.11730447591500552,21.0,11.0,0.4,933.9808361530304,0.2571835906661601,332.211168050766,0.15219801296207708,3.7756394547813846e-06
patient_671,145.19263768196106,0.08948124368031632,20.0,11.0,0.3,2138.395849466324,0.259009412223556,584.278457403183,0.0787039185174631,2.0515585936930483e-06
patient_372,26.465659379959106,0.11714466350355551,21.0,11.0,0.4,1482.3994245529175,0.25779357910909245,445.83211970329285,0.10428707119454646,2.6303521114022304e-06
patient_283,43.893614768981934,0.0904977497957238,20.0,11.0,0.3,2623.014970779419,0.2608829864818205,678.7515697479248,0.06664912019479444,1.8272310573367798e-06
patient_202,20.392674446105957,0.11507122796522691,21.0,11.0,0.4,873.4808135032654,0.25128849916091295,293.48360300064087,0.19337914588404065,4.0784643493037055e-06
patient_317,23.485639572143555,0.11722470490798872,21.0,11.0,0.4,1091.3124952316284,0.2530003188005178,359.6640646457672,0.16603930899042602,3.6722914501505187e-06
patient_743,28.20842671394348,0.11823703932389054,21.0,11.0,0.4,1635.9733107089996,0.25990218696029194,486.47544264793396,0.09883976301248418,2.6392466445119534e-06
patient_825,31.397101640701294,0.11368198225619063,21.0,11.0,0.4,597.6486628055573,0.24734002306392733,246.11075830459595,0.18164910825714106,3.429041917789619e-06
patient_674,21.725231170654297,0.11363389023843576,21.0,11.0,0.4,774.8833906650543,0.24498346487357614,278.91527938842773,0.21723887877498238,3.835073633598192e-06
